acquisitions_id,acquired_company,acquiring_company,year_of_acquisition_announcement,price,price_disclosed,status,terms,country_hq,country_hq_bidder,city_hq,city_hq_bidder,target_main_category,bidder_main_category,market_categories,market_categories_bidder,target_age_at_acquisition,bidder_age_at_acquisition,cross_border,same_country,target_has_category,number_of_acquisitions,number_of_employees,total_funding_usd,cluster
Adobe Systems acquired EchoSign in 2011,EchoSign,Adobe,2011,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Palo Alto,San Jose,Curated Web,Photo Editing,"Curated Web, Legal","Photo Editing, Design, Creative, Software, Image Recognition",6.0,29.0,0,1,1,38.0,11144.0,0.0,0
Adobe Systems acquired Efficient Frontier in 2011,Efficient Frontier,Adobe,2011,"$400,000,000",1,Undisclosed,Undisclosed,United States,United States,Sunnyvale,San Jose,Advertising,Photo Editing,Advertising,"Photo Editing, Design, Creative, Software, Image Recognition",9.0,29.0,0,1,1,38.0,11144.0,0.0,0
Adobe Systems acquired Emerald City Software in 1990,Emerald City Software,Adobe,1990,Undisclosed amount,0,Undisclosed,Undisclosed,Japan,United States,Usa,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,8.0,1,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Fotiva in 2001,Fotiva,Adobe,2001,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,19.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Frame Technology in 1995,Frame Technology,Adobe,1995,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Mountain View,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,13.0,0,1,0,38.0,11144.0,0.0,3
Adobe Systems acquired GoLive Systems in 1999,GoLive Systems,Adobe,1999,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,17.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired GoodBarry in 2009,GoodBarry,Adobe,2009,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,San Francisco,San Jose,Enterprise Software,Photo Editing,Enterprise Software,"Photo Editing, Design, Creative, Software, Image Recognition",5.0,27.0,0,1,1,38.0,11144.0,0.0,2
Adobe Systems acquired HyWay Ferranti in 1997,HyWay Ferranti,Adobe,1997,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,15.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Ideacodes in 2013,Ideacodes,Adobe,2013,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,San Francisco,San Jose,Curated Web,Photo Editing,"Curated Web, Interface Design, Design, Consulting, User Experience Design","Photo Editing, Design, Creative, Software, Image Recognition",8.0,31.0,0,1,1,38.0,11144.0,0.0,0
Adobe Systems acquired InterAKT in 2006,InterAKT,Adobe,2006,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,24.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired IRIDAS in 2011,IRIDAS,Adobe,2011,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,29.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Macromedia in 2005,Macromedia,Adobe,2005,"$3,400,000,000",1,Undisclosed,Stock,United States,United States,San Francisco,San Jose,Software,Photo Editing,Software,"Photo Editing, Design, Creative, Software, Image Recognition",13.0,23.0,0,1,1,38.0,11144.0,0.0,0
Adobe Systems acquired Navisware in 2005,Navisware,Adobe,2005,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,23.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Neolane in 2013,Neolane,Adobe,2013,"$600,000,000",1,Undisclosed,Undisclosed,France,United States,Arcueil,San Jose,Software,Photo Editing,Software,"Photo Editing, Design, Creative, Software, Image Recognition",12.0,31.0,1,0,1,38.0,11144.0,0.0,0
Adobe Systems acquired Nitobi Software in 2011,Nitobi Software,Adobe,2011,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Web Tools,Photo Editing,"Web Tools, Web Development, Software","Photo Editing, Design, Creative, Software, Image Recognition",,29.0,0,0,1,38.0,11144.0,0.0,0
Adobe Systems acquired OCR Systems in 1992,OCR Systems,Adobe,1992,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,10.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired OKYZ in 2004,OKYZ,Adobe,2004,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,22.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Omniture in 2009,Omniture,Adobe,2009,"$1,800,000,000",1,Undisclosed,Stock,United States,United States,Orem,San Jose,Software,Photo Editing,"Software, Advertising","Photo Editing, Design, Creative, Software, Image Recognition",13.0,27.0,0,1,1,38.0,11144.0,0.0,0
Adobe Systems acquired Photoshop in 1995,Photoshop,Adobe,1995,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,13.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Pixmantec in 2006,Pixmantec,Adobe,2006,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,24.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Sandcastle in 1997,Sandcastle,Adobe,1997,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,15.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Scene7 in 2007,Scene7,Adobe,2007,Undisclosed amount,0,Undisclosed,Cash,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,25.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Serious Magic in 2006,Serious Magic,Adobe,2006,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,24.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Thumb Labs in 2013,Thumb Labs,Adobe,2013,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Mobile,Photo Editing,Mobile,"Photo Editing, Design, Creative, Software, Image Recognition",,31.0,0,0,1,38.0,11144.0,0.0,0
Adobe Systems acquired Trade and Technologies France in 2006,Trade and Technologies France,Adobe,2006,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,24.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired Typekit in 2011,Typekit,Adobe,2011,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,San Francisco,San Jose,Curated Web,Photo Editing,Curated Web,"Photo Editing, Design, Creative, Software, Image Recognition",3.0,29.0,0,1,1,38.0,11144.0,0.0,0
Adobe Systems acquired Virtual Ubiquity in 2007,Virtual Ubiquity,Adobe,2007,Undisclosed amount,0,Undisclosed,Cash,,United States,,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,25.0,0,0,0,38.0,11144.0,0.0,3
Adobe Systems acquired YaWah in 2008,YaWah,Adobe,2008,Undisclosed amount,0,Undisclosed,Undisclosed,Denmark,United States,SkÃ¸dstrup,San Jose,Unknown,Photo Editing,,"Photo Editing, Design, Creative, Software, Image Recognition",,26.0,1,0,0,38.0,11144.0,0.0,3
Amazon acquired AbeBooks in 2008,AbeBooks,Amazon,2008,Undisclosed amount,0,Undisclosed,Undisclosed,Canada,United States,Victoria,Seattle,Curated Web,Groceries,"Curated Web, Textbooks","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",12.0,14.0,1,0,1,45.0,132600.0,8000000.0,0
Amazon acquired Accept.Com in 1999,Accept.Com,Amazon,1999,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,Seattle,Unknown,Groceries,,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,5.0,0,0,0,45.0,132600.0,8000000.0,3
Amazon acquired Alexa in 1999,Alexa,Amazon,1999,"$250,000,000",1,Undisclosed,Stock,United States,United States,San Francisco,Seattle,Curated Web,Groceries,Curated Web,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",3.0,5.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Amie Street in 2010,Amie Street,Amazon,2010,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Long Island City,Seattle,Marketplaces,Groceries,"Marketplaces, Curated Web, Music","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,16.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Audible in 2008,Audible,Amazon,2008,"$300,000,000",1,Undisclosed,Cash,United States,United States,Newark,Seattle,E-Commerce,Groceries,E-Commerce,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",9.0,14.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Bookpages in 1998,Bookpages,Amazon,1998,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,Seattle,Unknown,Groceries,,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,4.0,0,0,0,45.0,132600.0,8000000.0,3
Amazon acquired BookSurge in 2005,BookSurge,Amazon,2005,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,Seattle,Unknown,Groceries,,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,11.0,0,0,0,45.0,132600.0,8000000.0,3
Amazon acquired Brilliance Audio in 2007,Brilliance Audio,Amazon,2007,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Grand Haven,Seattle,E-Commerce,Groceries,E-Commerce,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",23.0,13.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired BuyVIP in 2010,BuyVIP,Amazon,2010,Undisclosed amount,0,Undisclosed,Undisclosed,Spain,United States,Madrid,Seattle,Online Shopping,Groceries,"Online Shopping, Sales and Marketing, E-Commerce","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",4.0,16.0,1,0,1,45.0,132600.0,8000000.0,0
Amazon acquired CDNOW in 2003,CDNOW,Amazon,2003,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Jenkintown,Seattle,Unknown,Groceries,,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",9.0,9.0,0,1,0,45.0,132600.0,8000000.0,3
Amazon acquired Comixology in 2014,Comixology,Amazon,2014,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,New York City,Seattle,Games,Groceries,Games,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",7.0,20.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired CustomFlix in 2005,CustomFlix,Amazon,2005,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,Seattle,Unknown,Groceries,,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",3.0,11.0,0,0,0,45.0,132600.0,8000000.0,3
Amazon acquired Double Helix Games in 2014,Double Helix Games,Amazon,2014,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Irvine,Seattle,Games,Groceries,Games,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,20.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired dpreview in 2007,dpreview,Amazon,2007,Undisclosed amount,0,Undisclosed,Cash,United States,United States,Seattle,Seattle,Reviews and Recommendations,Groceries,"Reviews and Recommendations, Curated Web, E-Commerce","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",9.0,13.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Evi in 2013,Evi,Amazon,2013,"$26,000,000",1,Complete,Undisclosed,Great Britain,United States,Cambridge,Seattle,Search,Groceries,"Search, Mobile","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",8.0,19.0,1,0,1,45.0,132600.0,8000000.0,0
Amazon acquired Exchange.Com in 1999,Exchange.Com,Amazon,1999,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,Seattle,Unknown,Groceries,,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,5.0,0,0,0,45.0,132600.0,8000000.0,3
Amazon acquired Fabric.com in 2008,Fabric.com,Amazon,2008,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,Seattle,Curated Web,Groceries,Curated Web,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",9.0,14.0,0,0,1,45.0,132600.0,8000000.0,0
Amazon acquired Goodreads in 2013,Goodreads,Amazon,2013,"$150,000,000",1,Undisclosed,Undisclosed,United States,United States,Santa Monica,Seattle,Networking,Groceries,"Networking, Curated Web, Textbooks","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",6.0,19.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired GoPago in 2013,GoPago,Amazon,2013,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,Seattle,Unknown,Groceries,,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,19.0,0,0,0,45.0,132600.0,8000000.0,3
Amazon acquired IMDB in 1998,IMDB,Amazon,1998,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Seattle,Seattle,Reviews and Recommendations,Groceries,"Reviews and Recommendations, Curated Web, Television, Promotional, Entertainment","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",8.0,4.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired IVONA Text-To-Speech in 2013,IVONA Text-To-Speech,Amazon,2013,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,Seattle,Software,Groceries,Software,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",9.0,19.0,0,0,1,45.0,132600.0,8000000.0,0
Amazon acquired Kiva Systems in 2012,Kiva Systems,Amazon,2012,"$775,000,000",1,Undisclosed,Cash,United States,United States,North Reading,Seattle,Shipping,Groceries,"Shipping, Software, Robotics, Hardware + Software, Hardware","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",9.0,18.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Lexcycle in 2009,Lexcycle,Amazon,2009,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Portland,Seattle,iPod Touch,Groceries,"iPod Touch, iPhone, Mobile","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",2.0,15.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Liquavista in 2013,Liquavista,Amazon,2013,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,Seattle,Unknown,Groceries,,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,19.0,0,0,0,45.0,132600.0,8000000.0,3
Amazon acquired LOVEFiLM in 2012,LOVEFiLM,Amazon,2012,"$2,500,000",1,Undisclosed,"Cash, Stock",Great Britain,United States,London,Seattle,Games,Groceries,Games,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",9.0,18.0,1,0,1,45.0,132600.0,8000000.0,0
Amazon acquired Mobipocket.com in 2005,Mobipocket.com,Amazon,2005,Undisclosed amount,0,Undisclosed,Undisclosed,France,United States,Paris,Seattle,Unknown,Groceries,,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",5.0,11.0,1,0,0,45.0,132600.0,8000000.0,3
Amazon acquired Pushbutton in 2011,Pushbutton,Amazon,2011,Undisclosed amount,0,Undisclosed,Undisclosed,Great Britain,United States,London,Seattle,Games,Groceries,Games,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",9.0,17.0,1,0,1,45.0,132600.0,8000000.0,0
Amazon acquired Quidsi in 2010,Quidsi,Amazon,2010,"$545,000,000",1,Undisclosed,"Cash, Stock",United States,United States,Jersey City,Seattle,E-Commerce,Groceries,E-Commerce,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",5.0,16.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Quorus in 2011,Quorus,Amazon,2011,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Seattle,Seattle,Software,Groceries,Software,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,17.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Reflexive Entertainment in 2008,Reflexive Entertainment,Amazon,2008,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Lake Forest,Seattle,Games,Groceries,Games,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",11.0,14.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Screentech in 2013,Screentech,Amazon,2013,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,Seattle,Unknown,Groceries,,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,19.0,0,0,0,45.0,132600.0,8000000.0,3
Amazon acquired Shelfari in 2008,Shelfari,Amazon,2008,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Seattle,Seattle,Social Media,Groceries,Social Media,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",2.0,14.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Shopbop in 2006,Shopbop,Amazon,2006,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Madison,Seattle,E-Commerce,Groceries,E-Commerce,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,12.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired SnapTell in 2009,SnapTell,Amazon,2009,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Palo Alto,Seattle,Advertising,Groceries,Advertising,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",3.0,15.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired TeachStreet in 2012,TeachStreet,Amazon,2012,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Seattle,Seattle,Teachers,Groceries,"Teachers, Charter Schools, Education","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",5.0,18.0,0,1,1,45.0,132600.0,8000000.0,2
Amazon acquired TenMarks Education in 2013,TenMarks Education,Amazon,2013,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Burlingame,Seattle,Education,Groceries,Education,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",3.0,19.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired TextPayMe in 2006,TextPayMe,Amazon,2006,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Redmond,Seattle,Messaging,Groceries,Messaging,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",1.0,12.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired The Book Depository in 2011,The Book Depository,Amazon,2011,Undisclosed amount,0,Undisclosed,Undisclosed,Great Britain,United States,Gloucester,Seattle,Retail,Groceries,"Retail, E-Commerce","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",7.0,17.0,1,0,1,45.0,132600.0,8000000.0,0
Amazon acquired Touchco in 2010,Touchco,Amazon,2010,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,New York City,Seattle,Hardware + Software,Groceries,Hardware + Software,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,16.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Twitch in 2014,Twitch,Amazon,2014,"$970,000,000",1,Pending,Cash,,United States,,Seattle,Unknown,Groceries,,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",,20.0,0,0,0,45.0,132600.0,8000000.0,3
Amazon acquired UpNext in 2012,UpNext,Amazon,2012,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,New York City,Seattle,Maps,Groceries,"Maps, Mobile","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",5.0,18.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Without A Box in 2008,Without A Box,Amazon,2008,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,Studio City,Seattle,Games,Groceries,Games,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",9.0,14.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Woot in 2010,Woot,Amazon,2010,"$110,000,000",1,Undisclosed,Cash,United States,United States,Carrollton,Seattle,Wine And Spirits,Groceries,"Wine And Spirits, Curated Web, Fashion, Electronics","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",6.0,16.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Yap in 2011,Yap,Amazon,2011,Undisclosed amount,0,Undisclosed,Cash,United States,United States,Fort Mill,Seattle,Speech Recognition,Groceries,"Speech Recognition, Messaging, Telephony, Telecommunications, Audio, Mobile","Groceries, Consumer Goods, Crowdsourcing, E-Commerce",5.0,17.0,0,1,1,45.0,132600.0,8000000.0,0
Amazon acquired Zappos in 2009,Zappos,Amazon,2009,"$1,200,000,000",1,Undisclosed,Stock,United States,United States,Las Vegas,Seattle,Curated Web,Groceries,Curated Web,"Groceries, Consumer Goods, Crowdsourcing, E-Commerce",10.0,15.0,0,1,1,45.0,132600.0,8000000.0,0
Amie Street acquired Songza in 2008,Songza,Amie Street,2008,Undisclosed amount,0,Undisclosed,"Cash, Stock",,,,,Unknown,Unknown,,,,,0,0,0,,,,3
AOL acquired 5min Media in 2010,5min Media,AOL,2010,"$65,000,000",1,Undisclosed,Cash,United States,United States,New York City,New York City,Education,News,"Education, Video, Games","News, Advertising Platforms, Content Creators, Digital Media",3.0,25.0,0,1,1,62.0,5600.0,1000000000.0,0
AOL acquired Adap.tv in 2013,Adap.tv,AOL,2013,"$405,000,000",1,Undisclosed,"Cash, Stock",United States,United States,San Mateo,New York City,Auctions,News,"Auctions, Television, Advertising, Video","News, Advertising Platforms, Content Creators, Digital Media",7.0,28.0,0,1,1,62.0,5600.0,1000000000.0,0
AOL acquired ADTECH in 2007,ADTECH,AOL,2007,Undisclosed amount,0,Undisclosed,Undisclosed,Germany,United States,Dreieich,New York City,Curated Web,News,"Curated Web, Advertising, Technology","News, Advertising Platforms, Content Creators, Digital Media",9.0,22.0,1,0,1,62.0,5600.0,1000000000.0,0
AOL acquired Advertising.com in 2004,Advertising.com,AOL,2004,"$435,000,000",1,Undisclosed,Cash,United States,United States,Baltimore,New York City,Sales and Marketing,News,"Sales and Marketing, Advertising, Internet","News, Advertising Platforms, Content Creators, Digital Media",6.0,19.0,0,1,1,62.0,5600.0,1000000000.0,0
AOL acquired Aiguarentacar in 2013,Aiguarentacar,AOL,2013,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,New York City,Cars,News,"Cars, Local Businesses","News, Advertising Platforms, Content Creators, Digital Media",5.0,28.0,0,0,1,62.0,5600.0,1000000000.0,0
AOL acquired Bebo in 2008,Bebo,AOL,2008,"$850,000,000",1,Undisclosed,Cash,,United States,,New York City,Unknown,News,,"News, Advertising Platforms, Content Creators, Digital Media",,23.0,0,0,0,62.0,5600.0,1000000000.0,3
AOL acquired BookLink Technologies in 1994,BookLink Technologies,AOL,1994,Undisclosed amount,0,Undisclosed,Undisclosed,,United States,,New York City,Unknown,News,,"News, Advertising Platforms, Content Creators, Digital Media",,9.0,0,0,0,62.0,5600.0,1000000000.0,3
AOL acquired buy.at in 2008,buy.at,AOL,2008,"$125,000,000",1,Undisclosed,Cash,United States,United States,Baltimore,New York City,Advertising,News,Advertising,"News, Advertising Platforms, Content Creators, Digital Media",,23.0,0,1,1,62.0,5600.0,1000000000.0,0
AOL acquired Certify Data Systems in 2012,Certify Data Systems,AOL,2012,Undisclosed amount,0,Undisclosed,Undisclosed,United States,United States,San Jose,New York City,Enterprise Software,News,Enterprise Software,"News, Advertising Platforms, Content Creators, Digital Media",8.0,27.0,0,1,1,62.0,5600.0,1000000000.0,2
